34,222351
34,576239
34,72632
35,454797
36,138893
36,385764
36,879283
37,072118
37,239498
38,044824
38,218481
38,579785
38,769817
39,063547
39,513021
39,738178
40,159887
40,886753
41,088572
41,403575
41,743212
42,104341
42,948588
43,626068
43,958471
44,538629
44,6547
45,07233
45,70524
45,975378
46,972602
47,856931
48,71569
48,898768
49,852819
50,848591
51,839182
52,67512
53,062204
54,606941
54,951025
55,543932
55,778937
56,49256
56,813028
58,042815
58,47084
58,791772
59,469694
59,862409
60,402507
60,623502
61,427061
61,781123
62,538337
62,678153
62,838153
63,14197
63,541277
63,779005
